nk_Deal,annual_interest_rate,nb_TotalPayments,dt_LastPaymentDate,dt_LoanStartDate,dt_NextPaymentDate,am_EstimatedBalance
29,6.41,42,04/10/2023,30/11/2023,03/09/2023,147188.72
30,11.51,53,07/04/2023,15/05/2021,06/12/2023,107071.08
31,10.64,51,19/09/2023,29/11/2022,15/09/2023,71880.48
32,5.61,41,26/11/2023,19/11/2023,27/05/2023,64915.94
33,3.89,31,19/10/2023,06/05/2023,29/07/2023,11580.61
34,5.09,36,26/07/2023,17/12/2018,21/01/2024,19203.22
35,7.12,40,02/10/2023,10/07/2023,19/09/2023,51737.03
36,9.03,35,11/03/2024,28/02/2023,25/04/2023,35327.69
37,3.75,38,27/10/2023,26/03/2023,16/04/2023,40213.47
38,3.62,46,27/08/2023,27/05/2020,14/08/2023,133684.68
39,5.39,51,17/03/2023,11/08/2022,24/05/2023,33802.31
40,9.22,48,23/12/2023,09/04/2019,16/05/2023,75324.15
41,2.53,34,03/05/2023,01/11/2019,27/06/2023,4795.71
42,6.32,44,21/03/2023,22/08/2020,09/02/2024,54713.86
43,3.7,53,15/08/2023,10/03/2020,07/05/2023,120671.89
44,4.19,45,02/01/2024,15/08/2021,23/09/2023,102547.46
45,2.02,32,16/03/2023,14/08/2022,21/08/2023,23449.85
46,8.02,52,08/10/2023,28/05/2020,19/10/2023,56368.27
47,9.17,58,06/11/2023,21/02/2024,19/05/2023,139840.18
48,2.24,52,07/07/2023,21/10/2022,26/01/2024,144884.11
49,11.03,45,24/03/2023,06/10/2020,07/01/2024,84224.47
50,8.36,34,11/05/2023,10/02/2022,01/07/2023,149853.17
51,10.1,39,25/01/2024,20/01/2019,30/07/2023,65984.1
52,5.32,57,06/06/2023,12/03/2020,19/04/2024,93958.97
53,7.72,41,10/10/2023,02/01/2023,02/07/2023,96182.12
54,11.09,35,12/07/2023,09/02/2024,27/05/2023,18576.83
55,9.62,35,08/10/2023,15/07/2021,22/07/2023,69583.69
56,6.51,54,10/02/2023,03/09/2022,01/02/2024,67359.75
57,7.42,41,07/02/2024,20/07/2023,25/06/2023,44216.07
58,9.5,30,08/09/2023,06/11/2018,28/05/2023,147267.93
59,4.63,48,27/12/2023,15/01/2020,10/05/2023,45447.68
60,2.04,39,12/02/2024,25/05/2021,26/06/2023,10914.5
61,11.8,55,07/03/2023,03/07/2020,04/03/2024,40230.76
62,6.1,44,23/02/2023,31/08/2019,20/10/2023,35514.93
63,5.38,51,09/02/2024,16/02/2020,25/04/2023,62984.12
64,3.65,47,19/11/2023,29/01/2019,28/12/2023,43702.09
65,7.45,40,31/01/2024,06/04/2019,21/09/2023,8963.09
66,7.69,42,07/06/2023,10/03/2024,24/06/2023,7131.84
67,5.4,38,03/02/2024,30/10/2021,17/01/2024,130202.13
68,11.33,52,23/11/2023,02/08/2020,05/01/2024,107221.34
69,6.41,50,12/03/2023,20/12/2020,26/06/2023,79442.8
70,5.04,42,14/08/2023,26/11/2018,02/12/2023,122703.6
71,3.2,36,30/12/2023,11/02/2022,08/01/2024,91358.5
72,2.96,32,18/02/2023,10/09/2022,03/01/2024,29770.56
73,8.88,42,20/08/2023,08/02/2020,04/05/2023,16342.35
74,2.44,32,28/09/2023,29/03/2019,20/03/2024,125443.32
75,6.66,45,04/02/2023,13/08/2022,04/03/2024,22453.18
76,9.59,59,23/07/2023,19/06/2022,15/06/2023,98756.47
77,5.84,30,05/06/2023,20/01/2019,15/11/2023,35612.9
78,10.81,56,16/07/2023,26/10/2019,28/04/2023,111787.01
79,2.71,54,07/02/2023,27/02/2023,14/06/2023,51250.93
80,3.6,55,28/10/2023,20/07/2022,10/09/2023,139636.69
81,7.2,47,04/12/2023,01/09/2019,23/07/2023,43525.42
82,4.91,41,19/02/2024,25/02/2023,02/01/2024,94332.68
83,4.81,42,28/10/2023,06/07/2021,19/03/2024,119267.78
84,8.48,34,15/07/2023,01/09/2022,08/04/2023,103594.81
85,3.78,59,01/05/2023,09/07/2021,10/01/2024,98466.85
86,2.34,56,17/07/2023,06/11/2019,02/10/2023,61505.98
87,2.03,58,27/05/2023,09/04/2019,05/10/2023,95681.84
88,4.93,48,20/05/2023,25/12/2018,30/09/2023,64483.02
89,11,47,10/03/2023,11/01/2020,02/06/2023,70697.7
90,9.06,38,06/04/2023,20/04/2021,08/09/2023,57182.81
91,8.27,33,08/05/2023,30/08/2022,11/10/2023,36463.93
92,10.66,49,03/03/2023,10/06/2022,28/05/2023,93028.37
93,8.52,46,19/02/2024,01/09/2019,30/06/2023,118711.72
94,9.89,33,03/03/2023,06/01/2020,05/12/2023,135823.81
95,3.52,31,21/05/2023,20/04/2020,29/03/2024,122435.45
96,9.37,33,01/10/2023,20/03/2023,22/03/2024,70172.03
97,9.34,35,11/04/2023,29/01/2020,09/05/2023,83561.88
98,3.09,42,06/03/2023,25/11/2018,05/06/2023,119283.57
99,9.27,55,10/10/2023,08/02/2020,08/03/2024,86787.96
100,7.1,59,12/08/2023,11/11/2018,12/11/2023,63571.23
101,5.84,32,26/05/2023,19/02/2021,15/09/2023,59001.81
102,5.41,39,01/10/2023,11/09/2019,07/02/2024,75017.53
103,10.32,59,18/11/2023,15/03/2020,01/11/2023,11154.89
104,4.13,34,29/10/2023,05/09/2023,25/01/2024,27969.47
105,5.41,30,09/12/2023,01/03/2024,17/12/2023,46188.21
106,9.82,40,09/02/2024,16/07/2020,04/07/2023,117871.52
107,11.27,57,01/04/2023,03/02/2021,06/05/2023,66247.85
108,8.03,39,01/08/2023,29/04/2022,28/04/2023,8144.91
109,5.98,42,26/11/2023,09/03/2021,07/02/2024,138516.36
110,6.7,34,27/06/2023,10/08/2020,08/08/2023,12737.92
111,6.99,58,29/06/2023,04/09/2019,21/12/2023,72842.17
112,3.12,39,24/06/2023,02/12/2023,03/10/2023,111735.21
113,3.21,34,19/02/2024,29/12/2020,23/04/2024,66837.75
114,11.87,37,23/04/2023,28/11/2019,08/06/2023,139397.77
115,2.98,49,21/03/2023,19/02/2019,17/05/2023,116311.35
116,2.09,49,13/02/2023,01/02/2022,14/04/2023,93983.19
117,6.73,47,19/02/2023,14/03/2019,07/05/2023,67077.19
118,4.19,46,21/10/2023,08/02/2021,29/09/2023,66888.41
119,8.69,43,12/06/2023,21/08/2021,05/01/2024,22721.04
120,11.38,32,25/12/2023,10/11/2020,09/09/2023,54348.12
121,11.62,43,13/12/2023,09/11/2020,15/10/2023,99425.61
122,9.79,46,17/07/2023,24/02/2024,05/05/2023,93809.12
123,3.17,37,29/01/2024,09/02/2024,25/02/2024,120413.92
124,7.33,34,27/12/2023,25/04/2020,03/01/2024,5304.45
125,11.86,43,04/09/2023,26/04/2019,22/04/2024,118018.64
126,3.43,30,26/03/2023,23/12/2018,29/08/2023,97970.15
127,3.94,58,05/03/2023,13/11/2019,10/11/2023,14337.76
128,10.2,32,27/05/2023,22/10/2023,15/12/2023,112801.43
129,11.07,56,06/12/2023,21/05/2021,25/04/2023,38762.41
130,7.1,43,17/06/2023,16/06/2021,18/12/2023,135385.08
131,11.13,39,09/11/2023,18/08/2019,28/12/2023,83122.86
132,6.58,52,10/06/2023,28/12/2019,04/10/2023,95643.46
133,10.65,52,03/01/2024,19/08/2022,04/07/2023,124103.29
134,2.64,42,15/01/2024,06/11/2020,11/02/2024,38734.19
135,6.82,59,23/07/2023,15/09/2022,25/09/2023,105558.2
136,10.67,59,06/10/2023,01/02/2020,03/10/2023,108914.32
137,2.97,47,04/02/2024,01/10/2022,07/02/2024,19028.71
138,5.58,58,05/02/2023,29/06/2019,12/05/2023,104259.89
139,7.49,48,26/12/2023,30/01/2020,21/07/2023,4603.2
140,11.43,35,19/07/2023,14/01/2024,18/09/2023,122324.39
141,11.65,39,01/08/2023,03/12/2020,29/03/2024,123728.8
142,4.64,57,20/08/2023,28/11/2021,20/03/2024,120687.28
143,8.79,56,31/07/2023,03/09/2019,15/04/2023,137380.79
144,3.38,36,27/05/2023,06/02/2022,14/12/2023,46589.1
145,5.97,54,29/12/2023,09/01/2023,19/07/2023,30076.43
146,6.51,31,28/03/2023,05/04/2022,28/12/2023,88027.8
147,7.08,48,02/07/2023,21/04/2019,09/10/2023,16761.19
148,9.38,37,10/12/2023,30/09/2023,14/06/2023,15307.24
149,2.09,44,18/09/2023,11/07/2022,30/07/2023,29821.64
150,4.1,42,06/03/2023,25/06/2020,04/06/2023,27096.32
151,11.36,32,22/01/2024,22/10/2020,25/09/2023,87270.71
152,7.57,45,25/05/2023,24/02/2022,11/03/2024,84676.58
153,5.91,53,28/11/2023,11/12/2021,01/11/2023,149368.74
154,9.63,33,05/02/2023,23/04/2023,21/08/2023,125658.19
155,7.67,36,09/04/2023,28/09/2019,04/07/2023,134213.03
156,11.64,33,20/11/2023,18/04/2023,18/04/2024,90137.89
157,2.54,33,27/05/2023,13/02/2023,28/01/2024,145529.3
158,7.85,40,09/08/2023,23/01/2020,28/05/2023,8521.11
159,2.54,51,20/02/2024,10/03/2023,05/07/2023,31372.37
160,3.93,41,17/06/2023,19/03/2024,16/10/2023,14564.25
161,5.75,39,05/06/2023,05/10/2022,27/09/2023,146186.02
162,4.13,42,13/12/2023,02/12/2020,16/07/2023,137996.73
163,2.7,57,12/01/2024,06/03/2023,27/11/2023,142070.4
164,8.61,43,03/11/2023,24/01/2024,07/08/2023,19957.96
165,5.47,34,07/03/2024,11/09/2019,12/06/2023,84133.63
166,4.05,39,30/12/2023,08/11/2018,29/04/2024,114155.19
167,4.63,31,05/08/2023,19/03/2023,20/01/2024,106396.2
168,5.87,34,17/03/2023,08/09/2019,14/07/2023,145582.55
169,9.84,46,14/11/2023,28/04/2019,09/10/2023,86045.13
170,8.98,30,13/09/2023,12/12/2019,22/10/2023,64179.12
171,11.14,35,24/03/2023,16/12/2019,06/06/2023,84118.82
172,7.28,33,16/04/2023,03/05/2021,22/11/2023,143611.9
173,5.12,53,27/09/2023,22/12/2022,29/04/2024,9549.43
174,4.5,33,08/11/2023,15/07/2019,19/04/2024,6696.68
175,4.88,31,07/03/2023,07/01/2023,26/07/2023,28546.37
176,6.06,32,22/11/2023,31/05/2021,24/06/2023,95925.04
177,7.35,31,08/05/2023,02/11/2018,23/09/2023,125901.83
178,11.46,44,04/06/2023,20/09/2022,22/06/2023,147924.47
179,9.17,56,21/02/2024,01/12/2023,06/04/2024,105261.38
180,6.32,32,10/05/2023,20/11/2023,17/11/2023,38700.02
181,11.21,53,13/07/2023,22/01/2023,26/08/2023,82136.46
182,10.96,37,28/06/2023,16/04/2021,11/05/2023,41266.12
183,9.06,31,03/09/2023,20/05/2019,25/01/2024,96305.55
184,9.03,54,13/02/2023,01/06/2021,23/08/2023,108411.23
185,4.61,32,28/04/2023,28/10/2020,24/12/2023,44325.09
186,3.7,30,08/03/2023,03/10/2022,28/07/2023,92098.27
187,2.69,30,11/08/2023,05/09/2021,01/01/2024,19519.73
188,6.34,55,22/02/2023,19/06/2021,26/02/2024,143968.26
189,2.18,50,27/03/2023,18/06/2022,23/01/2024,122293.07
190,6.49,46,12/02/2023,08/12/2021,02/10/2023,123872.06
191,6.94,36,16/10/2023,15/03/2021,29/08/2023,107137.7
192,4.03,57,02/12/2023,10/09/2020,30/07/2023,31099.97
193,11.45,56,25/05/2023,18/12/2022,15/07/2023,79275.99
194,5.02,44,12/02/2023,24/01/2024,17/10/2023,125869.36
195,4.77,45,09/07/2023,26/04/2020,30/03/2024,83974.67
196,2.73,45,07/11/2023,25/01/2024,07/10/2023,76776.77
197,2.57,50,23/06/2023,01/11/2018,20/03/2024,14596.64
198,3.12,32,14/11/2023,14/09/2022,13/04/2024,22741.29
199,4.13,37,28/01/2024,30/07/2020,15/03/2024,141173.24
200,6.37,45,30/03/2023,01/04/2019,23/06/2023,22720.12
201,2.51,57,12/04/2023,06/11/2019,16/09/2023,90461.71
202,7.71,57,12/05/2023,06/08/2019,23/07/2023,65654.75
203,6.98,30,02/06/2023,16/11/2023,17/04/2024,71007.08
204,4.13,42,02/05/2023,16/08/2021,25/06/2023,127892.07
205,8.6,46,27/05/2023,16/06/2020,03/08/2023,122499.59
206,6.04,40,09/11/2023,15/11/2022,25/01/2024,8044.15
207,2.07,37,03/07/2023,22/01/2024,05/12/2023,113257.73
208,3.62,43,10/09/2023,03/03/2022,02/05/2023,29368.33
209,9.03,48,18/10/2023,30/09/2020,14/06/2023,80275.51
210,4.16,60,12/09/2023,23/07/2022,14/09/2023,5251.96
211,8.92,42,10/07/2023,07/10/2019,25/02/2024,92724.98
212,9.15,39,19/03/2023,03/10/2021,08/08/2023,113234.06
213,2.58,52,08/12/2023,12/02/2022,04/02/2024,37633.85
214,3.44,39,07/06/2023,18/12/2019,07/04/2023,126893.31
215,7.04,34,14/07/2023,25/08/2019,04/08/2023,15672.97
216,9.07,40,12/01/2024,17/02/2024,25/03/2024,56300.16
217,7.36,34,15/02/2024,01/07/2020,07/07/2023,100313.68
218,6.87,45,08/01/2024,02/01/2022,18/04/2023,59660.08
219,3.52,58,03/02/2024,30/05/2023,13/11/2023,97046.31
220,8.1,58,10/01/2024,15/10/2020,12/11/2023,8710.51
221,11.68,35,26/05/2023,07/03/2024,12/01/2024,131172.13
222,2.58,46,07/08/2023,25/01/2021,30/01/2024,83421.11
223,2.36,34,03/01/2024,22/12/2023,07/08/2023,130013.97
224,11.1,45,31/01/2024,13/06/2023,06/03/2024,142351.2
225,10.13,42,18/04/2023,16/01/2019,02/11/2023,43209.18
226,10,43,14/11/2023,22/02/2019,08/10/2023,34320.64
227,10.96,33,19/06/2023,12/09/2022,29/05/2023,139298.55
228,4.17,38,22/09/2023,25/06/2019,21/04/2024,61368.24
229,8.18,51,03/08/2023,13/08/2020,02/01/2024,60133.85
230,11.08,55,17/02/2024,25/07/2023,20/05/2023,135274.23
231,8.93,40,17/05/2023,22/12/2018,09/04/2024,9913.66
232,10.3,43,27/05/2023,30/03/2020,25/04/2023,101695.75
233,2.34,56,09/04/2023,23/12/2021,21/12/2023,85274.28
234,8.25,57,23/05/2023,29/06/2019,02/05/2023,143716.62
235,9.39,45,10/01/2024,11/12/2020,27/06/2023,138631.01
236,6.58,33,02/04/2023,11/09/2021,21/12/2023,147950.04
237,5.66,43,30/10/2023,28/04/2019,17/03/2024,145627.91
238,7.59,39,06/08/2023,16/12/2023,07/04/2023,25984.56
239,9,49,06/08/2023,09/12/2019,10/08/2023,32444.67
240,7.22,41,14/02/2024,17/09/2023,24/11/2023,32253.01
241,8.69,55,03/07/2023,16/04/2020,01/09/2023,17481.66
242,7.72,51,20/07/2023,12/02/2019,08/09/2023,133374.96
243,4.12,34,23/03/2023,11/12/2020,19/04/2023,57299.2
244,2.12,49,26/09/2023,27/07/2019,08/08/2023,42007.97
245,10.81,56,07/03/2024,13/08/2023,23/06/2023,44454.56
246,3.15,44,24/12/2023,20/11/2021,01/09/2023,32118.24
247,10.68,38,15/12/2023,28/03/2024,11/06/2023,44643.23
248,11.7,52,12/07/2023,13/10/2022,02/09/2023,27701.28
249,8.35,41,13/07/2023,24/06/2019,16/03/2024,144587.37
250,3.57,54,31/03/2023,29/11/2022,01/04/2024,120855.34
251,7.54,52,01/09/2023,28/11/2020,04/05/2023,10459.75
252,8.39,35,28/11/2023,31/12/2018,14/09/2023,90179.39
253,9.06,55,23/12/2023,21/03/2021,21/03/2024,16664.55
254,10.94,55,13/03/2023,12/02/2023,25/04/2023,115765.33
255,9.97,49,19/07/2023,03/03/2021,22/04/2023,76914.99
256,3.76,38,08/02/2023,20/12/2023,01/05/2023,6373.7
257,8.32,48,03/05/2023,22/08/2022,05/05/2023,109690.41
258,3.35,45,25/10/2023,24/03/2020,24/06/2023,77359.11
259,5.65,55,28/11/2023,14/07/2022,09/05/2023,31212.18
260,2.9,48,25/10/2023,02/07/2019,03/05/2023,68819.66
261,9.87,51,17/02/2024,09/06/2020,08/08/2023,34817.77
262,7.97,48,29/07/2023,04/09/2023,16/02/2024,119621.64
263,6.51,44,18/09/2023,20/08/2020,30/01/2024,64003.62
264,5.96,54,26/12/2023,18/09/2021,13/03/2024,71396.65
265,8.33,30,12/10/2023,26/01/2024,17/08/2023,66250.44
266,7.94,36,03/11/2023,22/02/2020,20/04/2023,80816.02
267,7.98,33,27/07/2023,04/12/2020,04/03/2024,120833.53
268,6.84,46,07/03/2024,14/02/2021,12/12/2023,30182.22
269,3.17,36,03/03/2023,22/01/2022,19/05/2023,29493.18
270,11.76,54,05/07/2023,08/05/2021,28/11/2023,38258.43
271,10.29,44,18/09/2023,05/11/2021,21/07/2023,52963.81
272,5.86,60,16/08/2023,22/09/2021,30/04/2023,51678.33
273,11.46,60,28/04/2023,14/08/2020,05/09/2023,5132.64
274,4.42,57,14/02/2024,11/02/2021,18/04/2024,47542.46
275,5.3,42,30/12/2023,25/04/2021,26/12/2023,71881.33
276,10.49,55,04/09/2023,22/02/2024,14/05/2023,11660.43
277,5.77,56,28/11/2023,27/09/2019,22/06/2023,33818.41
278,10.44,45,12/03/2023,15/05/2019,18/12/2023,102214.02
279,10.93,33,03/08/2023,14/01/2021,23/01/2024,51323.07
280,10.8,53,26/06/2023,29/09/2020,30/09/2023,37689.88
281,3.02,57,10/01/2024,09/02/2020,21/01/2024,96513.82
282,3.82,51,12/09/2023,08/03/2021,07/12/2023,64772.63
283,4.87,49,24/11/2023,10/01/2022,17/05/2023,16914.88
284,9.75,55,21/12/2023,11/01/2020,04/09/2023,103219.71
285,2.81,40,14/04/2023,07/12/2019,15/01/2024,45391.48
286,2.14,41,17/10/2023,15/05/2020,28/12/2023,63559.54
287,2.91,30,23/09/2023,24/03/2021,13/02/2024,51388
288,11.75,42,07/01/2024,11/01/2020,14/02/2024,146947.88
289,6.2,45,15/03/2023,28/03/2023,28/05/2023,30474.78
290,5.36,34,08/05/2023,10/01/2019,12/09/2023,71542.16
291,5.82,37,29/07/2023,18/07/2020,06/04/2023,148904.84
292,2.53,31,13/02/2023,29/04/2021,22/07/2023,48432.63
293,4.51,54,29/12/2023,09/04/2020,15/08/2023,96086.18
294,5.92,37,18/12/2023,29/05/2022,16/05/2023,30277.52
295,3.24,39,15/10/2023,11/11/2023,25/01/2024,76232.88
296,10.51,53,23/07/2023,11/01/2021,06/07/2023,143881.71
297,4.52,48,07/03/2024,16/03/2019,05/06/2023,53559.53
298,3.34,42,03/07/2023,22/02/2019,02/12/2023,22395.53
299,2.96,46,06/12/2023,07/01/2020,21/05/2023,148748.9
300,7.52,43,02/06/2023,02/05/2022,20/01/2024,12150.78
301,7.62,35,02/09/2023,18/08/2020,22/02/2024,118698.46
302,10.01,32,29/10/2023,29/09/2019,23/04/2024,29239.39
303,9.01,40,18/12/2023,29/01/2022,19/10/2023,37379.78
304,3.08,39,07/03/2023,30/01/2024,12/10/2023,79769.38
305,8.27,54,29/10/2023,20/11/2021,06/04/2023,110956.29
306,7.86,39,03/09/2023,08/01/2022,03/04/2024,17040.99
307,6.61,38,05/12/2023,17/10/2020,26/01/2024,30579.11
308,8.93,38,04/02/2023,17/07/2021,14/02/2024,116829.35
309,9.51,49,05/10/2023,03/09/2019,07/12/2023,64845.33
310,8.07,56,16/10/2023,01/11/2020,11/04/2024,125877.39
311,8.04,51,12/12/2023,29/12/2020,13/07/2023,27430.63
312,8.8,32,20/02/2024,12/12/2020,09/01/2024,18954.4
313,5.22,59,19/11/2023,15/10/2019,02/01/2024,24580.94
314,5.55,34,22/02/2023,29/11/2021,04/04/2024,107409.01
315,6.16,51,16/09/2023,29/05/2021,09/03/2024,96878.69
316,11.33,34,09/06/2023,12/12/2022,13/10/2023,132909.18
317,11.91,34,14/12/2023,25/04/2021,18/03/2024,25859.1
318,9.46,44,01/05/2023,23/11/2019,30/09/2023,17900.56
319,3.76,59,01/01/2024,15/12/2023,12/09/2023,134674.29
320,8.64,41,06/02/2024,16/08/2021,20/10/2023,74750.05
321,8.73,57,24/03/2023,10/01/2024,10/07/2023,11346.31
322,3.18,49,01/09/2023,19/05/2023,10/10/2023,43354.81
323,7.86,34,02/12/2023,14/12/2019,07/10/2023,50746.38
324,10.95,60,03/11/2023,03/06/2021,10/06/2023,148895.61
325,4.01,38,01/05/2023,02/10/2021,26/11/2023,139021.62
326,4.89,39,05/03/2024,11/08/2020,03/09/2023,126883.17
327,5.57,55,30/11/2023,19/02/2019,16/05/2023,97494.87
328,7.68,41,11/11/2023,04/01/2023,11/03/2024,38123.23
329,11.52,31,26/11/2023,16/02/2019,09/04/2023,15325.52
330,2.99,56,01/04/2023,10/08/2023,28/08/2023,60702.79
331,9,59,06/02/2024,20/11/2019,26/05/2023,35179.24
332,9.67,44,30/05/2023,20/10/2019,17/04/2024,37766.09
333,3.95,54,23/10/2023,12/05/2019,28/08/2023,50889.92
334,8.3,41,20/06/2023,01/10/2021,28/05/2023,85140.3
335,8.03,30,14/03/2023,09/11/2023,24/08/2023,114609.14
336,3.58,43,07/03/2024,08/08/2021,09/06/2023,9870.66
337,2.84,47,09/12/2023,07/04/2019,26/10/2023,124825.12
338,5.59,47,09/06/2023,07/05/2021,20/04/2024,134297.72
339,11.34,59,10/09/2023,17/11/2022,11/12/2023,44108.25
340,3.77,44,16/10/2023,19/02/2021,31/08/2023,94458.5
341,7.12,48,23/02/2023,08/01/2024,12/01/2024,28866.95
342,7.39,36,18/06/2023,28/11/2023,25/02/2024,84956.35
343,5.37,32,10/02/2024,07/11/2018,28/04/2024,8404.44
344,10.72,39,06/01/2024,07/08/2023,31/10/2023,81552.88
345,11.28,53,18/09/2023,29/12/2018,03/01/2024,34007.15
346,9.09,44,07/01/2024,24/10/2020,14/08/2023,72327.42
347,10.41,41,13/05/2023,01/12/2019,01/02/2024,119298.91
348,8.84,36,07/02/2024,08/12/2020,04/04/2023,14374.15
349,7.52,49,26/02/2023,21/11/2023,19/01/2024,37281.76
350,6.24,48,26/02/2023,23/06/2022,29/06/2023,25361.6
351,5.89,41,14/11/2023,26/08/2023,24/08/2023,59111.81
352,2.71,34,07/07/2023,07/08/2022,28/11/2023,3756.17
353,5.61,60,16/11/2023,12/04/2021,30/10/2023,16519.59
354,9.17,49,12/07/2023,24/07/2022,09/11/2023,25004.98
355,2.79,34,01/08/2023,29/10/2022,21/02/2024,75249.53
356,3.43,47,18/07/2023,07/09/2023,14/04/2024,12702.91
357,7.54,37,07/09/2023,02/01/2019,31/01/2024,5777.15
358,3.6,33,16/01/2024,27/12/2023,02/06/2023,39411.36
359,9.81,36,02/03/2024,22/01/2023,18/08/2023,18045.89
360,6.83,34,06/12/2023,31/07/2019,15/06/2023,138339.27
361,7.39,35,27/09/2023,01/04/2022,11/07/2023,28403.66
362,6.62,35,03/01/2024,09/07/2023,13/07/2023,39978.79
363,2.68,53,20/05/2023,03/07/2023,12/03/2024,8100.98
364,9.81,34,19/09/2023,25/01/2023,30/03/2024,48625.01
365,2.48,52,26/03/2023,14/10/2020,06/04/2024,104103.95
366,8.18,59,14/04/2023,01/12/2018,27/07/2023,128967.7
367,5.4,43,03/09/2023,10/11/2018,22/11/2023,26031.59
368,10.55,52,04/11/2023,09/04/2023,07/06/2023,52547.58
369,11.43,53,18/02/2024,16/03/2023,04/05/2023,104614.24
370,9.29,39,24/04/2023,31/03/2022,28/05/2023,102143.9
371,2.26,37,17/04/2023,06/11/2023,20/01/2024,17545.43
372,4.41,44,27/08/2023,17/11/2021,25/12/2023,34320.58
373,10.34,58,26/02/2024,08/06/2023,18/02/2024,138063.46
374,10.48,32,17/04/2023,24/05/2019,03/03/2024,42844.81
375,7.77,59,29/04/2023,20/01/2019,08/09/2023,10817.57
376,7.83,34,27/02/2023,29/11/2021,25/02/2024,59876.26
377,7.03,34,22/03/2023,21/04/2022,11/01/2024,64148.19
378,3.85,41,16/01/2024,28/08/2019,26/11/2023,124346.79
379,11.23,52,10/11/2023,22/01/2020,17/05/2023,89891.62
380,3.06,48,28/02/2024,22/12/2021,23/12/2023,73382.88
381,8.5,53,07/04/2023,15/03/2022,13/12/2023,147355.55
382,3.97,51,31/12/2023,20/03/2021,19/03/2024,11811.32
383,7.5,57,30/12/2023,22/07/2021,17/05/2023,18753.28
384,3.73,59,23/08/2023,11/05/2021,12/12/2023,43826.88
385,6.27,36,18/05/2023,05/06/2023,02/09/2023,121717.22
386,6.05,57,30/05/2023,21/02/2022,18/07/2023,23948.25
387,4.32,32,09/06/2023,31/10/2023,22/04/2023,69750.98
388,8.83,37,25/08/2023,04/03/2019,29/11/2023,23143.53
389,4.69,38,27/10/2023,14/07/2022,02/02/2024,7683.97
390,8.39,46,22/09/2023,30/01/2021,16/07/2023,37558.64
391,8.86,50,26/11/2023,08/05/2023,20/08/2023,47759.25
392,6.53,40,11/06/2023,14/01/2023,16/10/2023,132332.67
393,9,32,13/04/2023,23/09/2020,17/08/2023,148635.15
394,4.52,50,25/05/2023,08/09/2022,25/12/2023,28217.23
395,10.92,57,22/11/2023,10/05/2020,12/08/2023,105628.15
396,2.74,51,17/02/2023,26/01/2019,13/11/2023,55036.52
397,7.74,60,03/02/2024,24/08/2022,26/07/2023,98883.11
398,8.59,55,09/05/2023,21/07/2021,15/07/2023,64308.16
399,3.15,43,22/09/2023,19/08/2019,11/12/2023,64908.19
400,6.16,41,21/11/2023,03/09/2022,20/08/2023,61163.22
401,5.77,31,29/05/2023,06/01/2023,01/06/2023,9179.78
402,10.91,47,29/01/2024,25/02/2024,28/09/2023,101449.26
403,9.97,44,15/01/2024,21/11/2018,04/01/2024,70008.2
404,5.5,53,02/08/2023,25/11/2022,18/09/2023,24859.09
405,11.19,35,07/03/2023,15/08/2023,23/02/2024,109706.97
406,9.46,59,15/12/2023,01/06/2021,16/05/2023,45723.56
407,6.46,43,12/02/2023,28/06/2021,27/04/2024,106342.87
